site_id, site_name, site_location, host_id, host_name, ip_address, operative_system, load_avg_1min, load_avg_5min, load_avg_15min
101, NY-01, New York, 1001, srv001001, 10.1.2.3, Windows, 1.3, 2.5, 1.2
101, NY-01, New York, 1002, srv001002, 10.1.2.4, Linux, 1.4, 2.5, 1.2
101, NY-01, New York, 1003, srv001003, 10.1.2.5, Linux, 3.3, 1.6, 1.8
101, NY-01, New York, 1004, srv001004, 10.1.2.6, Linux, 2.3, 4.5, 4.2
201, CA-01, California-LA, 2101, srv002101, 172.168.3.23, Solaris, 5.3, 2.8, 1.9
201, CA-01, California-LA, 2102, srv002102, 172.168.3.33, Solaris, 3.3, 3.5, 1.8
201, CA-01, California-LA, 2110, srv002110, 172.168.3.43, Solaris, 1.2, 1.5, 1.6
202, CA-02, California-SF, 2233, pc002233, 172.168.240.31, MacOS, 1.5, 3.5, 1.5
202, CA-02, California-SF, 2234, pc002234, 172.168.240.32, MacOS, 1.3, 2.2, 1.4
202, CA-02, California-SF, 2235, pc002235, 172.168.240.34, MacOS, 1.4, 3.5, 1.2
